Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,Average(1960-1964),1965,1966,1967,1968,1969,Average(1965-1969),1970,1971,1972,1973,1974,AVERAGE(1970-1974),1975,1976,1977,1978,1979,Average(1975-1979),1980,1981,1982,1983,1984,average(1980-1984),1985,1986,1987,1988,1989,Average(1985-1989),1990,1991,1992,1993,1994,Avergae(1990-1994),1995,1996,1997,1998,1999,Average(1995-1999),2000,2001,2002,2003,2004,Average(2000-2004),2005,2006,2007,2008,2009,Average(2005-2009),2010,2011,2012,2013,2014,Average(2010-2014),2015,2016,2017,2018,2019,Average(2015-2019),2020,2021
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0.22,0.77,1.4,2.41,1.99,2.03,1.72,2.1,1.79,1.42,5.33,-0.55,2.02,3.37,3.46,3.38,1.06,1.09,2.47,0.97,-0.49,2.43,1.21,1.43,1.11,0.63,2.06
Australia,AUS,"Inflation, consumer prices (annual %)",3.73,2.29,-0.32,0.64,2.87,1.84,3.41,3.29,3.48,2.52,3.28,3.21,3.44,6.14,6.02,9.09,15.42,8.02,15.16,13.32,12.31,8,9.12,11.58,10.14,9.49,11.35,10.04,3.96,8.99,6.73,9.05,8.53,7.22,7.53,7.81,7.33,3.18,1.01,1.75,1.97,3.05,4.63,2.62,0.22,0.86,1.48,1.96,4.46,4.41,2.98,2.73,2.34,3.38,2.69,3.56,2.33,4.35,1.77,2.94,2.92,3.3,1.76,2.45,2.49,2.58,1.51,1.28,1.95,1.91,1.61,1.65,0.85,2.86
Austria,AUT,"Inflation, consumer prices (annual %)",1.95,3.54,4.38,2.71,3.87,3.29,4.93,2.05,3.97,2.76,3.08,3.31,4.37,4.7,6.36,7.53,9.52,6.5,8.45,7.32,5.49,3.57,3.71,5.71,6.33,6.8,5.44,3.34,5.66,5.51,3.19,1.71,1.4,1.92,2.57,2.16,3.26,3.34,4.02,3.63,2.95,3.44,2.24,1.86,1.31,0.92,0.57,1.38,2.34,2.65,1.81,1.36,2.06,2.04,2.3,1.44,2.17,3.22,0.51,1.93,1.81,3.29,2.49,2,1.61,2.24,0.9,0.89,2.08,2,1.53,1.48,1.38,2.77
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.63,1128,1662.22,555.92,411.76,19.79,3.67,-0.77,-8.53,85.19,1.81,1.55,2.77,2.23,6.71,3.01,9.68,8.33,16.7,20.85,1.46,11.4,5.73,7.86,1.07,2.42,1.37,3.69,4.03,12.44,12.94,2.27,2.61,6.86,2.76,6.65
Burundi,BDI,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,4.44,-1.09,6.06,4.02,2.91,-0.2,3.85,3.83,6.01,15.72,5.84,15.71,6.86,6.83,23.9,36.54,17.97,2.5,12.17,5.87,8.15,14.32,8.6,3.8,1.68,7.11,4.49,11.66,5.75,7,9,1.82,9.68,14.85,8.47,19.26,26.44,31.11,12.5,3.39,18.54,24.43,9.3,-1.37,10.65,8.18,10.24,13.25,2.75,8.41,24.41,10.56,11.87,6.49,9.59,18.16,7.94,4.41,9.32,5.54,5.56,16.05,-2.81,-0.69,4.73,7.32,8.4
Belgium,BEL,"Inflation, consumer prices (annual %)",0.3,0.99,1.4,2.15,4.17,1.8,4.07,4.17,2.73,2.7,3.75,3.53,3.91,4.34,5.45,6.96,12.68,6.67,12.77,9.07,7.1,4.47,4.47,7.57,6.65,7.63,8.73,7.66,6.34,7.4,4.87,1.29,1.55,1.16,3.11,2.4,3.45,3.22,2.43,2.75,2.38,2.84,1.47,2.08,1.63,0.95,1.12,1.45,2.54,2.47,1.65,1.59,2.1,2.07,2.78,1.79,1.82,4.49,-0.05,2.17,2.19,3.53,2.84,1.11,0.34,2,0.56,1.97,2.13,2.05,1.44,1.63,0.74,2.44
Benin,BEN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,38.53,7.79,14.46,4.91,3.47,5.75,0.33,5.78,4.17,3.98,2.49,1.49,0.87,2.6,5.36,3.78,1.3,7.95,0.9,3.86,2.21,2.7,6.74,0.43,-0.55,2.31,0.22,-0.79,1.77,0.64,-0.71,0.23,3.02,1.73
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",7.79,18.56,1.68,5.57,1.85,7.09,-0.73,2.36,-4.33,-0.29,9.66,2.72,1.77,2.06,-2.92,7.6,8.72,3.45,18.76,-8.4,29.99,8.27,14.99,12.72,12.2,7.56,12.06,8.15,4.85,8.96,6.91,-2.61,-2.68,4.26,-0.48,1.08,-0.5,2.16,-1.99,0.55,25.18,5.08,7.46,6.1,2.32,5.08,-1.07,3.98,-0.3,5.01,2.18,2.03,-0.4,1.7,6.42,2.33,-0.23,10.66,2.61,4.36,-0.76,2.76,3.82,0.53,-0.26,1.22,0.72,0.44,1.48,1.96,-3.23,0.27,1.88,3.65
Bangladesh,BGD,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.87,7.41,6.05,4.67,6.13,6.36,3.63,3.01,5.31,4.89,10.3,2.38,5.31,8.4,6.11,6.5,2.21,2.01,3.33,5.67,7.59,4.16,7.05,6.77,9.11,8.9,5.42,7.45,8.13,11.4,6.22,7.53,6.99,8.05,6.19,5.51,5.7,5.54,5.59,5.71,5.69,5.55
Bulgaria,BGR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,2.73,2.37,6.39,2.84,23.8,338.45,91.3,72.88,96.06,124.5,62.05,121.61,1058.37,18.67,2.57,252.66,10.32,7.36,5.81,2.35,6.15,6.4,5.04,7.26,8.4,12.35,2.75,7.16,2.44,4.22,2.95,0.89,-1.42,1.82,-0.1,-0.8,2.06,2.81,3.1,1.42,1.67,3.3
