country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
Gibraltar,GIB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,22.4,14.2,9.44,1.6,12.6
"Gambia, The",GMB,"Inflation, consumer prices (annual %)",0.37,2.84,1.61,14.7,11.27,23.67,7.69,3.16,9.4,4.25,5.15,7.14,5.93,7.37
Guinea-Bissau,GNB,"Inflation, consumer prices (annual %)",0,0,0,0,0,28.21,44.69,3.23,2.53,3.74,1.88,1.6,0,0
Equatorial Guinea,GNQ,"Inflation, consumer prices (annual %)",0,0,0,0,0,4.43,6.9,7.15,6.55,4.82,4.7,1.28,4.77,0
Greece,GRC,"Inflation, consumer prices (annual %)",1.38,2.56,1.97,14.14,21.76,17.18,16.21,6.1,3.32,3,1.46,0.11,1.25,1.22
Grenada,GRD,"Inflation, consumer prices (annual %)",0,0,0,11.5,12.4,2.36,3.15,1.42,2.17,3.86,1.57,0.69,0.74,1.22
Greenland,GRL,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,"Inflation, consumer prices (annual %)",0.5,1.8,0.57,11.17,6.1,18.3,21.42,8.11,6.92,7.14,4.32,3.74,3.21,4.26
Guam,GUM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,7,4.95,7.37,2.77,1.2,0.99,5.3
High income,HIC,"Inflation, consumer prices (annual %)",0,0,0,0,9.35,4.14,4.26,2.38,2.28,2.74,2.8,1.14,0.54,2.52
"Hong Kong SAR, China",HKG,"Inflation, consumer prices (annual %)",0,0,0,0,5.9,6.12,9.76,4.1,2.26,1.95,4.8,2.44,0.25,1.57
Honduras,HND,"Inflation, consumer prices (annual %)",1.69,1.91,1.8,7.92,9.89,4.91,19.71,19.77,8.84,7.64,5.59,3.71,3.47,4.48
Heavily indebted poor countries (HIPC),HPC,"Inflation, consumer prices (annual %)",0,0,0,0,9.23,7.85,13.19,7.34,4.49,7.44,5.31,3.83,3.47,4.48
Croatia,HRV,"Inflation, consumer prices (annual %)",0,0,0,0,0,353.81,57.91,4.57,2.78,3.57,1.74,0.36,0.15,2.55
Haiti,HTI,"Inflation, consumer prices (annual %)",2.33,1.96,2.15,8.14,1.53,2.7,25.2,15.4,15.88,9.51,4.88,12.2,22.8,16.84
Hungary,HUN,"Inflation, consumer prices (annual %)",0,0,0,5.33,7.31,1.76,25.64,18.85,7.12,5.14,3.19,1.77,3.33,5.11
IBRD only,IBD,"Inflation, consumer prices (annual %)",0,0,0,11.65,13.45,11.97,17.37,8.94,4.97,6.9,4.44,2.97,2.47,4.27
IDA & IBRD total,IBT,"Inflation, consumer prices (annual %)",0,0,0,0,8.99,8.9,13.34,7.96,4.48,6.65,4.55,2.99,2.94,4.26
IDA total,IDA,"Inflation, consumer prices (annual %)",0,0,0,0,7.91,7.27,9.75,6.7,4.2,6.94,4.82,2.98,3.47,4.18
IDA blend,IDB,"Inflation, consumer prices (annual %)",0,0,0,11.35,9.18,4.21,5.33,4.87,2.4,4.57,2.92,1.49,1.8,2.27
Indonesia,IDN,"Inflation, consumer prices (annual %)",87.92,284.8,186.36,14.88,12.4,6.86,8.59,2.51,7.98,8.92,5.52,3.99,1.92,1.56
IDA only,IDX,"Inflation, consumer prices (annual %)",0,0,0,0,0,7.12,12.96,7.6,4.54,7.34,5.26,3.33,3.74,4.48
Isle of Man,IMN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,"Inflation, consumer prices (annual %)",4.68,5.9,5.29,3.4,1.51,7.91,1.24,8.85,3.93,7.13,9.41,4.17,6.62,5.13
Not classified,INX,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,IRL,"Inflation, consumer prices (annual %)",3.33,5.12,4.23,14.67,14.95,3.72,2.68,1.97,4.15,2.17,0.8,0.3,0.33,2.36
"Iran, Islamic Rep.",IRN,"Inflation, consumer prices (annual %)",3.58,1.87,2.73,14.73,19.16,2.48,2.64,26.78,14.26,15.95,23.37,17.14,3.59,0
Iraq,IRQ,"Inflation, consumer prices (annual %)",1.91,3.8,2.5,7.22,0,0,184.15,84.32,2.25,19.93,3.78,0.46,0.57,6.4
Iceland,ISL,"Inflation, consumer prices (annual %)",9.98,13.35,11.66,39.98,55.7,23.78,6.37,2.12,4.39,8.8,4.1,2.16,2.85,4.44
Israel,ISR,"Inflation, consumer prices (annual %)",6.4,4.6,5.5,46.82,177.47,82.52,14.31,8.19,1.66,2.35,1.99,0.15,0.59,1.49
Italy,ITA,"Inflation, consumer prices (annual %)",4.49,2.87,3.68,15.52,16.19,6.22,5.33,2.98,2.53,2.1,1.76,0.58,0.14,1.87
Jamaica,JAM,"Inflation, consumer prices (annual %)",3.3,4.35,3.69,2.47,17.2,14.1,41.49,14.11,9.14,12.89,8.93,3.61,5.23,5.86
Jordan,JOR,"Inflation, consumer prices (annual %)",0,0,0,11.84,7.2,7.2,7.4,3.12,1.85,5.54,4.25,1.38,0.33,1.35
Japan,JPN,"Inflation, consumer prices (annual %)",5.26,5.25,5.26,7.44,3.92,1.14,2.1,0.42,0.52,0.1,0.41,0.52,0.2,0.23
Kazakhstan,KAZ,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,375.47,49.64,8.14,1.32,6.7,7.98,6.75,0
Kenya,KEN,"Inflation, consumer prices (annual %)",1.48,1.73,1.61,14.6,13.56,1.5,28,6.85,7.82,14,7.99,6.16,5.4,6.11
Kyrgyz Republic,KGZ,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,2.57,6.97,1.3,8.3,2.55,6.33,11.91
Cambodia,KHM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,6.63,0.82,8.8,3.84,2.31,2.94,2.92
Kiribati,KIR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,5.41,0.97,0.32,0,0
St. Kitts and Nevis,KNA,"Inflation, consumer prices (annual %)",0,0,0,0,7.83,1.8,2.89,4.15,2.21,4.74,1.77,0.73,1.17,1.2
"Korea, Rep.",KOR,"Inflation, consumer prices (annual %)",14.59,11.87,13.23,16.69,12.59,4.22,7.4,4.43,3.24,2.99,2.35,1.1,0.54,2.5
